"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0O900","2020-05-08 00:00:00","9.000","156.000","0.800","27.000","0.990","1009.000","","0.000","-99.000","-99.000","-99.000","33.100","","25.700",""
"C0AD00","2020-05-08 00:00:00","86.000","195.000","1.300","24.900","0.880","1000.600","","21.500","-99.000","-99.000","-99.000","28.100","","22.800",""
"C0V700","2020-05-08 00:00:00","24.000","328.000","0.900","29.400","0.710","1006.400","","0.000","-99.000","-99.000","-99.000","32.100","","28.000",""
"C0AH00","2020-05-08 00:00:00","38.000","0.000","0.000","23.800","1.000","1005.700","","8.500","-99.000","-99.000","-99.000","25.600","","22.300",""
"C0X080","2020-05-08 00:00:00","2.000","0.000","0.000","26.100","0.870","1009.500","","0.000","-99.000","-99.000","-99.000","35.300","","25.300",""
"C0G910","2020-05-08 00:00:00","42.000","289.000","1.400","27.700","0.890","1004.200","","0.000","-99.000","-99.000","-99.000","31.800","","26.800",""
"C0I480","2020-05-08 00:00:00","2165.000","0.000","0.000","12.300","0.930","789.900","","0.000","-99.000","-99.000","-99.000","18.100","","12.300",""
"C0R710","2020-05-08 00:00:00","117.000","44.000","1.800","25.100","0.930","998.100","","0.000","-99.000","-99.000","-99.000","30.700","","25.100",""
"C0A860","2020-05-08 00:00:00","362.000","0.000","0.000","-99.000","0.890","969.700","","10.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0U940","2020-05-08 00:00:00","25.000","0.000","0.100","23.400","0.990","1009.700","","3.000","-99.000","-99.000","-99.000","28.000","","21.900",""
"C0S970","2020-05-08 00:00:00","19.000","299.000","2.500","25.100","0.880","1008.700","","0.000","-99.000","-99.000","-99.000","27.500","","25.100",""
"C0V260","2020-05-08 00:00:00","126.000","66.000","1.200","26.100","0.750","996.100","","0.000","-99.000","-99.000","-99.000","37.200","","24.600",""
"C0H990","2020-05-08 00:00:00","3076.000","219.000","7.700","6.900","0.900","707.200","","0.000","-99.000","-99.000","-99.000","9.500","","6.400",""
"C0AH90","2020-05-08 00:00:00","660.000","0.000","0.000","20.700","0.990","940.500","","7.500","-99.000","-99.000","-99.000","25.300","","19.000",""
"C0W150","2020-05-08 00:00:00","42.000","62.000","1.200","22.600","0.990","1005.800","","0.500","-99.000","-99.000","-99.000","28.000","","22.400",""
"C0F000","2020-05-08 00:00:00","273.000","317.000","0.300","24.900","1.000","976.300","","0.000","-99.000","-99.000","-99.000","31.500","","24.000",""
"C0M860","2020-05-08 00:00:00","578.000","0.000","0.200","23.300","0.770","947.000","","0.000","-99.000","-99.000","-99.000","32.000","","22.800",""
"C0K410","2020-05-08 00:00:00","20.000","242.000","0.400","27.600","0.820","1006.700","","0.000","-99.000","-99.000","-99.000","31.700","","26.000",""
"C0V800","2020-05-08 00:00:00","256.000","0.000","0.100","26.400","0.740","980.300","","0.000","-99.000","-99.000","-99.000","34.900","","25.100",""
"C0S830","2020-05-08 00:00:00","288.000","351.000","0.700","23.000","1.000","980.700","","5.500","-99.000","-99.000","-99.000","26.500","","22.300",""
"C0S920","2020-05-08 00:00:00","98.000","321.000","1.000","24.700","0.920","995.600","","0.000","-99.000","-99.000","-99.000","29.600","","24.500",""
"C0V640","2020-05-08 00:00:00","35.000","65.000","0.800","28.900","0.790","1006.000","","0.000","-99.000","-99.000","-99.000","31.000","","26.500",""
"C0AH80","2020-05-08 00:00:00","68.000","34.000","2.700","23.900","0.940","1001.900","","14.500","-99.000","-99.000","-99.000","26.800","","21.600",""
"C0K250","2020-05-08 00:00:00","12.000","0.000","0.000","26.100","0.920","1008.700","","0.000","-99.000","-99.000","-99.000","33.000","","24.800",""
"C0R840","2020-05-08 00:00:00","536.000","30.000","2.000","22.500","1.000","951.600","","0.000","-99.000","-99.000","-99.000","28.000","","22.500",""
"C0I410","2020-05-08 00:00:00","180.000","189.000","1.700","27.500","0.710","989.400","","0.000","-99.000","-99.000","-99.000","33.200","","24.300",""
"C0M410","2020-05-08 00:00:00","245.000","359.000","1.300","24.500","0.800","979.300","","0.000","-99.000","-99.000","-99.000","35.200","","23.000",""
"C0F9Z0","2020-05-08 00:00:00","3193.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0Z280","2020-05-08 00:00:00","224.000","0.000","0.200","23.500","0.990","987.700","","3.500","-99.000","-99.000","-99.000","27.100","","22.300",""
"C0G810","2020-05-08 00:00:00","26.000","299.000","0.400","28.400","0.840","1006.900","","0.000","-99.000","-99.000","-99.000","33.600","","27.200",""
"C0U650","2020-05-08 00:00:00","442.000","0.000","0.000","21.500","1.000","962.500","","9.000","-99.000","-99.000","-99.000","26.200","","19.300",""
"C0D660","2020-05-08 00:00:00","65.000","111.000","0.800","25.400","0.880","1002.600","","19.000","-99.000","-99.000","-99.000","27.400","","22.900",""
"C0E540","2020-05-08 00:00:00","32.000","87.000","0.400","25.200","0.920","1006.700","","1.500","-99.000","-99.000","-99.000","31.800","","23.000",""
"C0W170","2020-05-08 00:00:00","42.000","355.000","2.300","19.800","0.970","1004.900","","11.000","-99.000","-99.000","-99.000","20.500","","18.800",""
"C0Z150","2020-05-08 00:00:00","27.000","230.000","1.400","24.000","0.990","1009.100","","2.000","-99.000","-99.000","-99.000","26.100","","22.600",""
"C0S840","2020-05-08 00:00:00","22.000","274.000","1.400","24.400","0.970","1010.100","","0.000","-99.000","-99.000","-99.000","28.900","","24.400",""
"C0H9A0","2020-05-08 00:00:00","1595.000","0.000","0.000","17.500","0.660","846.400","","0.000","-99.000","-99.000","-99.000","26.800","","16.500",""
"C0Z300","2020-05-08 00:00:00","182.000","0.000","0.000","23.800","0.990","992.400","","6.000","-99.000","-99.000","-99.000","27.700","","22.300",""
"C0G730","2020-05-08 00:00:00","27.000","290.000","1.200","26.900","0.920","1007.600","","0.000","-99.000","-99.000","-99.000","31.600","","25.600",""
"C0V730","2020-05-08 00:00:00","33.000","320.000","1.700","29.500","0.700","1006.700","","0.000","-99.000","-99.000","-99.000","33.400","","27.200",""
"C0SA00","2020-05-08 00:00:00","466.000","0.000","0.000","22.200","1.000","959.400","","0.000","-99.000","-99.000","-99.000","26.700","","22.100",""
"C0S900","2020-05-08 00:00:00","27.000","119.000","2.800","26.400","0.900","1008.700","","0.000","-99.000","-99.000","-99.000","29.000","","25.800",""
"C0C480","2020-05-08 00:00:00","105.000","0.000","0.000","24.800","0.850","998.400","","17.000","-99.000","-99.000","-99.000","28.000","","21.900",""
"C0V720","2020-05-08 00:00:00","15.000","81.000","0.800","30.500","0.620","1008.100","","0.000","-99.000","-99.000","-99.000","33.200","","27.900",""
"C0UA60","2020-05-08 00:00:00","566.000","214.000","1.300","20.800","0.990","948.100","","11.500","-99.000","-99.000","-99.000","25.500","","19.600",""
"C0A980","2020-05-08 00:00:00","11.000","0.000","0.000","25.200","0.870","1009.700","","9.500","-99.000","-99.000","-99.000","28.300","","22.800",""
"C0R640","2020-05-08 00:00:00","21.000","0.000","0.000","29.100","0.740","1007.500","","0.000","-99.000","-99.000","-99.000","29.900","","27.300",""
"C0E810","2020-05-08 00:00:00","53.000","0.000","0.000","24.600","0.990","1004.500","","0.000","-99.000","-99.000","-99.000","30.800","","22.400",""
"C0G830","2020-05-08 00:00:00","27.000","300.000","1.500","27.600","1.000","1006.000","","0.000","-99.000","-99.000","-99.000","32.800","","26.800",""
"C0A550","2020-05-08 00:00:00","422.000","0.000","0.000","21.700","1.000","964.400","","13.000","-99.000","-99.000","-99.000","24.600","","19.900",""
"C0G750","2020-05-08 00:00:00","31.000","275.000","0.900","26.600","0.880","1007.300","","-99.000","-99.000","-99.000","-99.000","32.800","","25.700",""
"C0Z270","2020-05-08 00:00:00","343.000","109.000","1.000","22.300","0.990","973.500","","1.000","-99.000","-99.000","-99.000","24.400","","21.000",""
"C0UA30","2020-05-08 00:00:00","1397.000","130.000","1.500","17.300","1.000","860.600","","1.000","-99.000","-99.000","-99.000","21.100","","16.800",""
"C0I080","2020-05-08 00:00:00","536.000","0.000","0.000","23.400","0.760","954.200","","0.000","-99.000","-99.000","-99.000","34.100","","22.700",""
"C0UA00","2020-05-08 00:00:00","392.000","0.000","0.000","22.100","1.000","968.600","","15.500","-99.000","-99.000","-99.000","27.600","","20.000",""
"C0AD40","2020-05-08 00:00:00","32.000","164.000","0.300","23.900","0.930","1006.800","","13.000","-99.000","-99.000","-99.000","28.700","","22.100",""
"C0G900","2020-05-08 00:00:00","20.000","337.000","1.500","27.400","0.910","1007.000","","0.000","-99.000","-99.000","-99.000","31.400","","25.900",""
"C0S660","2020-05-08 00:00:00","794.000","128.000","0.400","21.500","0.980","926.100","","0.000","-99.000","-99.000","-99.000","26.900","","20.700",""
"C0M640","2020-05-08 00:00:00","155.000","0.000","0.000","26.900","0.720","992.400","","0.000","-99.000","-99.000","-99.000","32.100","","24.800",""
"C0R660","2020-05-08 00:00:00","20.000","173.000","1.800","27.500","0.770","1008.400","","0.000","-99.000","-99.000","-99.000","30.200","","25.800",""
"C0UA10","2020-05-08 00:00:00","1711.000","329.000","1.000","13.500","1.000","832.300","","10.000","-99.000","-99.000","-99.000","21.000","","13.400",""
"C0V770","2020-05-08 00:00:00","26.000","359.000","0.800","28.100","0.770","1006.900","","0.000","-99.000","-99.000","-99.000","32.900","","26.600",""
"C0E730","2020-05-08 00:00:00","26.000","142.000","1.000","25.000","0.920","1005.800","","8.000","-99.000","-99.000","-99.000","28.000","","23.800",""
"C0V810","2020-05-08 00:00:00","32.000","296.000","0.800","27.800","0.810","1005.300","","0.000","-99.000","-99.000","-99.000","29.700","","26.800",""
"C0A9C0","2020-05-08 00:00:00","35.000","63.000","0.400","25.100","0.860","1006.800","","10.500","-99.000","-99.000","-99.000","28.700","","22.500",""
"C0X310","2020-05-08 00:00:00","9.000","188.000","0.300","28.300","0.770","1009.600","","0.000","-99.000","-99.000","-99.000","30.800","","27.300",""
"C0K280","2020-05-08 00:00:00","23.000","0.000","0.000","26.900","0.890","1009.400","","0.000","-99.000","-99.000","-99.000","33.200","","25.400",""
"C0M650","2020-05-08 00:00:00","20.000","186.000","0.900","27.300","0.850","1007.900","","0.000","-99.000","-99.000","-99.000","31.800","","25.800",""
